ABflag,srcNo,dstNo,2,ASNodes,BSNodes
0,13,25,2,3,4
0,13,5,2,2,3
0,13,58,2,3,4
0,13,61,2,2,4
0,13,8,2,1,2
0,17,27,2,4,5
0,17,29,2,3,4
0,17,3,2,3,4
0,17,4,2,2,3
0,17,5,2,2,3
0,17,5,2,2,3
0,17,5,2,2,3
0,17,61,2,2,4
0,18,27,2,4,5
0,18,3,2,3,4
0,18,54,2,4,5
0,18,55,2,3,4
0,18,6,2,2,3
0,19,25,2,3,4
0,19,31,2,3,4
0,19,55,2,3,4
0,19,57,2,2,4
0,19,58,2,2,4
0,19,79,2,4,5
0,19,8,2,1,2
0,21,27,2,6,7
0,21,34,2,4,5
0,21,34,2,4,5
0,21,6,2,4,5
0,21,8,2,3,4
0,21,9,2,3,4
0,22,34,2,2,4
0,22,5,2,3,4
0,22,5,2,3,4
0,23,25,2,4,5
0,23,27,2,5,6
0,23,31,2,4,5
0,23,4,2,3,4
0,23,6,2,3,4
0,24,27,2,5,6
0,24,27,2,5,6
0,24,28,2,5,6
0,24,31,2,3,5
0,24,32,2,4,5
0,24,4,2,3,4
0,24,4,2,3,4
0,39,36,2,1,2
0,42,30,2,3,4
0,42,30,2,3,4
0,42,8,2,1,2
0,42,8,2,1,2
0,43,27,2,4,5
0,43,35,2,1,2
0,43,75,2,5,6
0,43,81,2,4,5
0,44,11,2,1,2
0,44,34,2,1,3
0,44,34,2,1,3
0,44,4,2,2,3
0,45,35,2,3,4
0,45,35,2,3,4
0,45,5,2,4,5
0,46,10,2,2,3
0,46,35,2,2,3
0,46,8,2,2,3
0,48,30,2,4,5
0,48,31,2,3,5
0,48,32,2,4,5
0,48,34,2,2,4
0,48,6,2,3,4
0,48,6,2,3,4
0,49,28,2,5,6
0,49,29,2,4,5
0,49,3,2,4,5
0,49,32,2,4,5
0,49,60,2,4,5
0,65,58,2,2,4
0,65,60,2,2,4
0,67,10,2,2,3
0,71,11,2,3,4
0,72,10,2,2,3
0,72,10,2,2,3
0,72,11,2,2,3
0,72,11,2,2,3
0,72,59,2,3,4
0,73,11,2,3,4
0,73,8,2,3,4
0,73,8,2,3,4
0,73,9,2,3,4
0,73,9,2,3,4
0,74,10,2,3,4
0,87,33,2,2,3
0,87,33,2,2,3
0,87,34,2,2,4
0,87,36,2,2,4
0,90,34,2,3,4
0,90,36,2,3,4
1,0,14,2,5,2
1,0,18,2,6,3
1,0,21,2,8,5
1,0,37,2,3,2
1,0,39,2,5,2
1,0,39,2,5,2
1,0,39,2,5,2
1,0,42,2,4,3
1,0,44,2,4,4
1,0,45,2,7,5
1,0,49,2,6,4
1,0,67,2,6,4
1,0,68,2,7,4
1,0,71,2,6,5
1,0,73,2,7,5
1,0,93,2,5,4
1,1,16,2,6,4
1,1,19,2,6,4
1,1,21,2,9,6
1,1,40,2,6,3
1,1,41,2,7,4
1,1,42,2,4,4
1,1,44,2,4,4
1,1,45,2,8,6
1,1,47,2,7,5
1,1,48,2,7,5
1,1,67,2,6,5
1,1,68,2,8,5
1,1,69,2,8,5
1,1,69,2,8,5
1,1,71,2,6,6
1,1,71,2,6,6
1,1,73,2,7,6
1,1,91,2,5,4
1,1,92,2,7,5
1,1,93,2,6,5
1,1,95,2,10,6
1,1,99,2,7,6
1,10,13,2,1,1
1,10,14,2,1,1
1,10,15,2,0,0
1,10,19,2,1,1
1,10,21,2,4,3
1,10,22,2,4,2
1,10,41,2,2,1
1,10,42,2,1,1
1,10,47,2,3,3
1,10,62,2,1,1
1,10,65,2,1,1
1,10,65,2,1,1
1,10,67,2,3,2
1,10,72,2,2,2
1,10,73,2,3,3
1,10,74,2,3,3
1,10,92,2,3,3
1,10,96,2,6,3
1,10,99,2,4,3
1,11,12,2,1,1
1,11,15,2,1,1
1,11,15,2,1,1
1,11,16,2,2,2
1,11,16,2,2,2
1,11,17,2,2,1
1,11,19,2,2,1
1,11,20,2,4,3
1,11,37,2,1,1
1,11,40,2,0,0
1,11,41,2,2,1
1,11,44,2,2,1
1,11,45,2,3,3
1,11,47,2,3,3
1,11,49,2,3,2
1,11,62,2,1,1
1,11,63,2,1,1
1,11,66,2,3,2
1,11,70,2,4,3
1,11,71,2,4,3
1,11,94,2,2,2
1,11,99,2,4,3
1,12,30,2,3,2
1,12,31,2,2,2
1,12,32,2,3,2
1,12,34,2,4,1
1,12,53,2,5,3
1,12,55,2,3,2
1,12,58,2,2,2
1,12,60,2,2,2
1,12,60,2,2,2
1,12,60,2,2,2
1,12,61,2,1,1
1,12,75,2,6,3
1,12,81,2,4,3
1,12,85,2,3,2
1,12,9,2,0,0
1,13,11,2,2,2
1,13,2,2,4,4
1,13,32,2,4,4
1,13,34,2,5,3
1,13,52,2,5,4
1,13,56,2,4,3
1,13,76,2,7,5
1,13,79,2,4,4
1,13,79,2,4,4
1,13,80,2,4,4
1,13,84,2,3,2
1,14,10,2,1,1
1,14,10,2,1,1
1,14,11,2,2,1
1,14,2,2,4,2
1,14,27,2,4,3
1,14,33,2,3,1
1,14,33,2,3,1
1,14,4,2,2,1
1,14,52,2,5,3
1,14,52,2,5,3
1,14,56,2,4,2
1,14,57,2,2,2
1,14,57,2,2,2
1,14,60,2,2,2
1,14,61,2,1,1
1,14,61,2,1,1
1,14,79,2,3,3
1,14,82,2,6,3
1,14,83,2,2,2
1,14,85,2,4,2
1,14,86,2,2,2
1,14,86,2,2,2
1,15,11,2,1,1
1,15,26,2,4,3
1,15,29,2,2,2
1,15,35,2,1,1
1,15,51,2,3,3
1,15,51,2,3,3
1,15,52,2,4,3
1,15,52,2,4,3
1,15,53,2,4,3
1,15,60,2,2,2
1,15,61,2,1,1
1,15,61,2,1,1
1,15,75,2,6,3
1,15,78,2,4,4
1,15,78,2,4,4
1,15,80,2,3,2
1,15,82,2,6,3
1,16,0,2,5,3
1,16,10,2,2,2
1,16,10,2,2,2
1,16,25,2,5,3
1,16,25,2,5,3
1,16,26,2,6,4
1,16,26,2,6,4
1,16,31,2,4,3
1,16,34,2,2,2
1,16,36,2,2,2
1,16,50,2,5,4
1,16,51,2,4,4
1,16,54,2,7,3
1,16,6,2,2,2
1,16,7,2,3,2
1,16,77,2,8,4
1,16,78,2,5,5
1,16,85,2,5,2
1,16,86,2,6,3
1,16,9,2,2,1
1,17,11,2,2,2
1,17,11,2,2,2
1,17,2,2,4,4
1,17,25,2,4,4
1,17,25,2,4,4
1,17,50,2,4,4
1,17,51,2,4,4
1,17,55,2,5,4
1,17,7,2,3,3
1,17,77,2,7,6
1,17,78,2,5,5
1,17,78,2,5,5
1,17,82,2,8,4
1,17,85,2,3,2
1,17,85,2,3,2
1,18,0,2,5,3
1,18,1,2,6,5
1,18,1,2,6,5
1,18,10,2,2,2
1,18,32,2,4,4
1,18,50,2,4,4
1,18,7,2,3,3
1,18,76,2,7,5
1,18,84,2,3,2
1,18,84,2,3,2
1,19,1,2,7,5
1,19,3,2,4,4
1,19,32,2,4,4
1,19,34,2,4,3
1,19,34,2,4,3
1,19,36,2,4,3
1,19,4,2,3,3
1,19,50,2,4,4
1,19,50,2,4,4
1,19,7,2,3,3
1,19,75,2,6,6
1,19,81,2,6,5
1,19,82,2,6,5
1,19,82,2,6,5
1,19,83,2,3,2
