ABflag,srcNo,dstNo,2,ASNodes,BSNodes
0,0,12,2,5,6
0,0,13,2,5,6
0,0,29,2,7,12
0,0,29,2,7,12
0,0,6,2,5,9
0,0,6,2,5,9
0,0,7,2,5,9
0,0,7,2,5,9
0,1,13,2,4,5
0,1,5,2,4,8
0,1,5,2,4,8
0,1,6,2,6,9
0,1,7,2,4,8
0,1,7,2,4,8
0,10,12,2,2,3
0,10,13,2,2,3
0,10,13,2,2,3
0,10,31,2,9,10
0,10,31,2,9,10
0,10,32,2,9,10
0,10,32,2,9,10
0,10,32,2,9,10
0,10,32,2,9,10
0,10,5,2,2,12
0,10,5,2,2,12
0,10,6,2,2,13
0,10,7,2,2,12
0,10,7,2,2,12
0,100,60,2,3,4
0,100,60,2,3,4
0,100,61,2,3,4
0,101,55,2,4,6
0,101,59,2,5,6
0,102,66,2,4,5
0,102,66,2,4,5
0,103,134,2,14,21
0,103,57,2,5,6
0,104,136,2,9,11
0,105,64,2,14,19
0,106,73,2,15,17
0,108,73,2,16,17
0,109,85,2,7,12
0,11,12,2,1,2
0,11,12,2,1,2
0,11,13,2,1,2
0,11,13,2,1,2
0,11,13,2,1,2
0,11,13,2,1,2
0,11,15,2,1,2
0,11,15,2,1,2
0,11,15,2,1,2
0,11,15,2,1,2
0,11,23,2,1,2
0,11,23,2,1,2
0,11,23,2,1,2
0,11,5,2,1,12
0,11,6,2,1,13
0,11,7,2,1,12
0,11,7,2,1,12
0,11,7,2,1,12
0,11,7,2,1,12
0,111,29,2,294,516
0,111,88,2,17,18
0,113,139,2,11,13
0,116,87,2,23,25
0,121,86,2,22,26
0,125,147,2,10,11
0,126,83,2,16,18
0,137,314,2,8,9
0,138,136,2,7,9
0,138,70,2,14,18
0,140,9,2,3,4
0,141,82,2,12,14
0,144,213,2,7,8
0,144,78,2,11,13
0,144,82,2,11,15
0,146,134,2,15,19
0,147,130,2,14,18
0,147,76,2,13,20
0,148,69,2,14,16
0,149,82,2,13,16
0,15,11,2,9,11
0,15,11,2,9,11
0,15,141,2,10,12
0,154,78,2,13,15
0,155,244,2,8,11
0,155,246,2,7,11
0,157,22,2,7,8
0,157,70,2,14,19
0,16,12,2,3,4
0,16,12,2,3,4
0,16,12,2,3,4
0,16,13,2,3,4
0,16,29,2,7,8
0,16,5,2,3,7
0,16,5,2,3,7
0,16,6,2,3,7
0,16,6,2,3,7
0,16,7,2,3,7
0,16,7,2,3,7
0,160,244,2,6,11
0,163,246,2,6,11
0,163,9,2,5,6
0,164,130,2,18,20
0,164,217,2,4,8
0,164,78,2,14,15
0,165,130,2,16,20
0,165,134,2,15,21
0,17,29,2,4,12
0,17,29,2,4,12
0,171,217,2,5,8
0,173,144,2,14,22
0,175,83,2,14,19
0,175,86,2,22,26
0,178,83,2,16,19
0,178,86,2,24,27
0,18,236,2,7,8
0,18,29,2,9,12
0,18,29,2,9,12
0,18,30,2,5,7
0,18,30,2,5,7
0,18,31,2,5,7
0,18,31,2,5,7
0,18,31,2,5,7
0,18,31,2,5,7
0,18,31,2,5,7
0,18,32,2,5,7
0,18,32,2,5,7
0,188,215,2,7,9
0,189,230,2,4,9
0,19,4,2,12,13
0,19,4,2,12,13
0,19,6,2,12,14
0,19,6,2,12,14
0,19,6,2,12,14
0,191,84,2,3,6
0,193,90,2,22,23
0,195,230,2,7,9
0,2,20,2,2,4
0,2,20,2,2,4
0,2,21,2,2,10
0,2,244,2,9,12
0,2,4,2,12,13
0,203,237,2,6,10
0,204,76,2,15,20
0,204,76,2,15,20
0,205,70,2,15,18
0,206,69,2,4,16
0,206,78,2,4,14
0,207,358,2,13,14
0,209,132,2,16,20
0,210,75,2,4,12
0,211,73,2,4,16
